MODEL UNDER TEST. Read ONLY this file. No decrypt. No world knowledge.
Real FinQA + WikiTableQuestions tables in SHARED CONTEXT.
Research path: binders (PROG/DSL) vs sealed NL.
WTQ gold cell LOOKUP DSL binder (research path).

===== SHARED CONTEXT BEGIN (real tables) =====
### TABLE E58245d48c86c ###
Edb3a061cea13 | E1da84b778cb6 | 2018
E400ccf411983 | E986cb8ffb553 | 2018
E400ccf411983 | E564e909974fc | 28.0
E64087c2179e3 | E986cb8ffb553 | 2019
E64087c2179e3 | E564e909974fc | 28.0
Ead7435bb4e19 | E986cb8ffb553 | 2020
Ead7435bb4e19 | E564e909974fc | 23.4
Eefb66f3e459f | E986cb8ffb553 | E4daf3000c032
Eefb66f3e459f | E564e909974fc | 77.0
Ec5cf83618482 | E986cb8ffb553 | Ef2bb65774bf1
Ec5cf83618482 | E564e909974fc | Ede808a0667c6

### TABLE Eba9bea2ea442 ###
E0d9fa1a6cbe9 | Eac096cc34fe0 | Ed32ce3920dd8
E0d9fa1a6cbe9 | E66d9d82f593d | Ed32ce3920dd8
E0d9fa1a6cbe9 | Ed448e36fb5b5 | Ed32ce3920dd8
E0d9fa1a6cbe9 | E2aa45b1f04e2 | Ed32ce3920dd8
E4e365c250c25 | Eac096cc34fe0 | E057b16dbf706
E4e365c250c25 | E66d9d82f593d | Ecd4fc30dbe1c
E4e365c250c25 | Ed448e36fb5b5 | E40494c4a456c
E4e365c250c25 | E2aa45b1f04e2 | E823ca63b6e6a

### TABLE E977956de589a ###
Ea56607afe9bd | E4f74cff92a2a | E29c12f029e51
Ea56607afe9bd | E66d9d82f593d | 947
Ea56607afe9bd | Ed448e36fb5b5 | 528
Ea56607afe9bd | E2aa45b1f04e2 | 160
E1daf9e460b9d | E4f74cff92a2a | E616f20ec0617
E1daf9e460b9d | E66d9d82f593d | 6865
E1daf9e460b9d | Ed448e36fb5b5 | 3022
E1daf9e460b9d | E2aa45b1f04e2 | 801

### TABLE Eb6ae5015786d ###
E064feeed9163 | E24b40dd466ad | Ecc37ece99086
E064feeed9163 | E76a43dd4527b | E738a2dafcb86
E064feeed9163 | Ee676bcaa022b | E1a14107453c0
E064feeed9163 | E369d3da5c771 | E46befbc82302
E064feeed9163 | Eb0b5f6cc61dc | E7615ad5fc0f7
E064feeed9163 | E41f696d1ed26 | Ee3cbd65d8fd2
E064feeed9163 | E3e58a9051bc4 | E09d29f25b1a0
E064feeed9163 | E12d1bd617f6d | Eff864ed3272c
E82076b13b2e5 | E24b40dd466ad | E67ba3641218d
E82076b13b2e5 | E76a43dd4527b | 56127
E82076b13b2e5 | Ee676bcaa022b | 2650
E82076b13b2e5 | E369d3da5c771 | 2650
E82076b13b2e5 | Eb0b5f6cc61dc | 2650
E82076b13b2e5 | E41f696d1ed26 | 48177
E82076b13b2e5 | E3e58a9051bc4 | 2014
E82076b13b2e5 | E12d1bd617f6d | 2014
E8c5de57bf5a3 | E24b40dd466ad | Ed4f5e14150e3
E8c5de57bf5a3 | E76a43dd4527b | 91235
E8c5de57bf5a3 | Ee676bcaa022b | 2444
E8c5de57bf5a3 | E369d3da5c771 | 28466
E8c5de57bf5a3 | Eb0b5f6cc61dc | 5737
E8c5de57bf5a3 | E41f696d1ed26 | 11598
E8c5de57bf5a3 | E3e58a9051bc4 | 1236
E8c5de57bf5a3 | E12d1bd617f6d | 41754
E66f2cce7ad66 | E24b40dd466ad | Ef0651fbf1509
E66f2cce7ad66 | E76a43dd4527b | 311120
E66f2cce7ad66 | Ee676bcaa022b | 10745
E66f2cce7ad66 | E369d3da5c771 | 5721
E66f2cce7ad66 | Eb0b5f6cc61dc | 5758
E66f2cce7ad66 | E41f696d1ed26 | 5793
E66f2cce7ad66 | E3e58a9051bc4 | 5822
E66f2cce7ad66 | E12d1bd617f6d | 277281
E886cc1063360 | E24b40dd466ad | E7f923bd28445
E886cc1063360 | E76a43dd4527b | 344700
E886cc1063360 | Ee676bcaa022b | 331553
E886cc1063360 | E369d3da5c771 | 13147
E886cc1063360 | Eb0b5f6cc61dc | 2014
E886cc1063360 | E41f696d1ed26 | 2014
E886cc1063360 | E3e58a9051bc4 | 2014
E886cc1063360 | E12d1bd617f6d | 2014
Eb83b1e9e9ace | E24b40dd466ad | E259077e6ed56
Eb83b1e9e9ace | E76a43dd4527b | 43357
Eb83b1e9e9ace | Ee676bcaa022b | 7502
Eb83b1e9e9ace | E369d3da5c771 | 7342
Eb83b1e9e9ace | Eb0b5f6cc61dc | 5801
Eb83b1e9e9ace | E41f696d1ed26 | 4326
Eb83b1e9e9ace | E3e58a9051bc4 | 3906
Eb83b1e9e9ace | E12d1bd617f6d | 14480
E720000a070b0 | E24b40dd466ad | E77edfd361917
E720000a070b0 | E76a43dd4527b | E50c89309c936
E720000a070b0 | Ee676bcaa022b | E746a7bb39951
E720000a070b0 | E369d3da5c771 | E56bdf650e02d
E720000a070b0 | Eb0b5f6cc61dc | E533f4d807314
E720000a070b0 | E41f696d1ed26 | Eb47a2a90b6ea
E720000a070b0 | E3e58a9051bc4 | E2fe0890163e1
E720000a070b0 | E12d1bd617f6d | Ee6154d0f63c1

### TABLE E8a4750a727e2 ###
E456bdc3e55d4 | E11cb11528777 | E9a5efb1ed88e
E456bdc3e55d4 | Eda69dd239f1a | 6
Ebe733c8c89aa | E11cb11528777 | Ea002b85dfdf5
Ebe733c8c89aa | Eda69dd239f1a | 10
Ef0fb965766ef | E11cb11528777 | E5343bbd0a1c7
Ef0fb965766ef | Eda69dd239f1a | 8
E624f90aa3cf3 | E11cb11528777 | Ecf50fbc0866d
E624f90aa3cf3 | Eda69dd239f1a | 8
E7ec37afada90 | E11cb11528777 | Eff28379e6fa6
E7ec37afada90 | Eda69dd239f1a | 1
E5549ff19bba3 | E11cb11528777 | E1e676fdd4c79
E5549ff19bba3 | Eda69dd239f1a | 3

### TABLE Ef63b5bab7d62 ###
Ee89c75469d31 | E11cb11528777 | 2010
Ee89c75469d31 | Ec00d6c7918b6 | Ed88d5893022c
E54407f156224 | E11cb11528777 | 2011
E54407f156224 | Ec00d6c7918b6 | 25181
Ef4bee9347927 | E11cb11528777 | 2012
Ef4bee9347927 | Ec00d6c7918b6 | 17338
Ee50cb931c15d | E11cb11528777 | 2013
Ee50cb931c15d | Ec00d6c7918b6 | 11557
Ea1ea7672c39c | E11cb11528777 | 2014
Ea1ea7672c39c | Ec00d6c7918b6 | 7742
Eeacf964a0bf4 | E11cb11528777 | E4daf3000c032
Eeacf964a0bf4 | Ec00d6c7918b6 | 18072
Ec667375d3241 | E11cb11528777 | Ef2bb65774bf1
Ec667375d3241 | Ec00d6c7918b6 | Ea1a920b98180

### TABLE Ebb0f0d83c1b1 ###
E036f5a05f6bd | E5bb83d4c2d1d | E731b1bbc3679
E036f5a05f6bd | E6c1961239e97 | 412
E3c0028baf2ac | E5bb83d4c2d1d | E00ef4ea80b91
E3c0028baf2ac | E6c1961239e97 | 70
E133d146e08d8 | E5bb83d4c2d1d | E6797cfd4edd3
E133d146e08d8 | E6c1961239e97 | E45f20852071a
E96fc126e1bd2 | E5bb83d4c2d1d | E181e28fbbc41
E96fc126e1bd2 | E6c1961239e97 | Eca25d1bdef6a
E7ae144b3aea5 | E5bb83d4c2d1d | Eb5aa9001a9b0
E7ae144b3aea5 | E6c1961239e97 | Eb53b885d9b8a
E0e6c3627701d | E5bb83d4c2d1d | E5479c81dd447
E0e6c3627701d | E6c1961239e97 | Ed0ef20f48411
E901d3fe4a8dc | E5bb83d4c2d1d | E731b1bbc3679
E901d3fe4a8dc | E6c1961239e97 | E6b1b97e3f328
E97a540eb7698 | E5bb83d4c2d1d | E00ef4ea80b91
E97a540eb7698 | E6c1961239e97 | 127
E9dac6876eb5b | E5bb83d4c2d1d | E6797cfd4edd3
E9dac6876eb5b | E6c1961239e97 | E339340366c74
Ee5eae5ff671e | E5bb83d4c2d1d | E181e28fbbc41
Ee5eae5ff671e | E6c1961239e97 | E7f4d6e1157df
E21479c13c17b | E5bb83d4c2d1d | Eb5aa9001a9b0
E21479c13c17b | E6c1961239e97 | E3416f119264a
E91e1345fb0f0 | E5bb83d4c2d1d | E52358c2459d1
E91e1345fb0f0 | E6c1961239e97 | E2348e8dd87e4
Eb47ebebb85bb | E5bb83d4c2d1d | E731b1bbc3679
Eb47ebebb85bb | E6c1961239e97 | E3a5f267fbd36
E5b80f03fc23b | E5bb83d4c2d1d | E00ef4ea80b91
E5b80f03fc23b | E6c1961239e97 | 267
Ee660849d5b97 | E5bb83d4c2d1d | E6797cfd4edd3
Ee660849d5b97 | E6c1961239e97 | Efa86cd917c59

### TABLE E6fde5bae8856 ###
E8842949497a8 | E11cb11528777 | E49a35788cd0e
E8842949497a8 | E9a1305306d9a | 13566
E8842949497a8 | E0d40cbaeed6e | E116435bacea9
E8842949497a8 | E9a1305306d9a | 0
E8842949497a8 | Ea4ceced6cdf2 | E925df7ab4918
Ec98d5de461bd | E11cb11528777 | Ef3506a3a0554
Ec98d5de461bd | E9a1305306d9a | 5345171
Ec98d5de461bd | E0d40cbaeed6e | Eae3c449116af
Ec98d5de461bd | E9a1305306d9a | 5343752
Ec98d5de461bd | Ea4ceced6cdf2 | Eda16ce1c5e50
E0a538ab28c67 | E11cb11528777 | E4bb8d4b4fb9a
E0a538ab28c67 | E9a1305306d9a | 8797959
E0a538ab28c67 | E0d40cbaeed6e | E4afc4af7191f
E0a538ab28c67 | E9a1305306d9a | 8790000
E0a538ab28c67 | Ea4ceced6cdf2 | Ef9744d8f734f
E738a0e950421 | E11cb11528777 | Ef2bb65774bf1
E738a0e950421 | E9a1305306d9a | 14156696
E738a0e950421 | E0d40cbaeed6e | Ec24147145175
E738a0e950421 | E9a1305306d9a | 14133752

### TABLE E595f3823d8ef ###
E40fd7a32a492 | E26e0ee4c052c | Ef1b4b95cfa4f
E106e79dfeded | E26e0ee4c052c | E28380713ee93
E106e79dfeded | E2b8aca5d5854 | E36ce86c2d61a
E5a485e23f429 | E26e0ee4c052c | E03b3ee5635a2
E5a485e23f429 | E2b8aca5d5854 | Ea0fbe1954763
E992926164362 | E26e0ee4c052c | E14825f98c8b8
E992926164362 | E2b8aca5d5854 | Ee60604fbc29c
E6fd07697cbc1 | E26e0ee4c052c | E95846a0ed3bf
E6fd07697cbc1 | E2b8aca5d5854 | 323
E0269c61b5338 | E26e0ee4c052c | Ee0b1223c2e95
E19afbc14421f | E26e0ee4c052c | Eefbdd0dd8388
E19afbc14421f | E2b8aca5d5854 | E788cf1ff9406
E889c30e821b5 | E26e0ee4c052c | Ef8ae4990a6a9
E889c30e821b5 | E2b8aca5d5854 | 231
E8b885037ebe7 | E26e0ee4c052c | E4beb949eea36
E8b885037ebe7 | E2b8aca5d5854 | 157
Eb965aaebf6b9 | E26e0ee4c052c | E944b0e954f1e
Eb965aaebf6b9 | E2b8aca5d5854 | 36
E54085a1d760d | E26e0ee4c052c | Ea61df388d036
E54085a1d760d | E2b8aca5d5854 | 7
Ee14a23669b75 | E26e0ee4c052c | Ea10ad4bd23bb
Ee14a23669b75 | E2b8aca5d5854 | Ec5650ed8bb2d
E3aacaa86092f | E26e0ee4c052c | E6a891bdff67e
E3aacaa86092f | E2b8aca5d5854 | E026191cb0ae2

### TABLE Edacc69654f7f ###
E9e2db69b6c07 | E1da84b778cb6 | Ed32ce3920dd8
E9e2db69b6c07 | E986cb8ffb553 | Ed32ce3920dd8
E9e2db69b6c07 | E420f2b5bc48a | Ed32ce3920dd8
E9e2db69b6c07 | Ea77014fbbdad | Ed32ce3920dd8
E0270408afda3 | E1da84b778cb6 | E598931bde9eb
E0270408afda3 | E986cb8ffb553 | Efb2f39e556f0
E0270408afda3 | E420f2b5bc48a | E0c82761ce37f
E0270408afda3 | Ea77014fbbdad | E26e226a3a2c8

### TABLE E1d2cb6344793 ###
E2dff52bc188b | E11cb11528777 | Ef4a21dd55297
E2dff52bc188b | Ec09726f6dab2 | E34d5444a0070
E2dff52bc188b | E00c007fedf2c | E1c0dcbb002fd
E2dff52bc188b | Efbdc20192853 | E8e4bba08c73c
E2dff52bc188b | E80f7a03289d7 | Eb1cf7ea97558
E2dff52bc188b | Eb8e2c4cdd76e | E105e1b89e458
E2dff52bc188b | E46f7653a9aeb | E9e2452f237ba
E717339a417f6 | E11cb11528777 | E8814e0724490
E717339a417f6 | Ec09726f6dab2 | E34d5444a0070
E717339a417f6 | E00c007fedf2c | E1d4ab04a2944
E717339a417f6 | Efbdc20192853 | E16fd2080e34a
E717339a417f6 | E80f7a03289d7 | E110d8fdc0a06
E717339a417f6 | Eb8e2c4cdd76e | E6c13d650f251
E717339a417f6 | E46f7653a9aeb | E1a5144cb9e49
E8024854b7e02 | E11cb11528777 | E1a64ae574d5f
E8024854b7e02 | Ec09726f6dab2 | E34d5444a0070
E8024854b7e02 | E00c007fedf2c | Eb417ac28033b
E8024854b7e02 | Efbdc20192853 | Ee375db430c44
E8024854b7e02 | E80f7a03289d7 | E93314b551218
E8024854b7e02 | Eb8e2c4cdd76e | Eef4e7c94e82a
E8024854b7e02 | E46f7653a9aeb | Ec85e32250001
E8ccb0abacec1 | E11cb11528777 | Efe1ee41e3310
E8ccb0abacec1 | Ec09726f6dab2 | E34d5444a0070
E8ccb0abacec1 | E00c007fedf2c | E8b28942e9116
E8ccb0abacec1 | Efbdc20192853 | Ea08ddf06b2aa
E8ccb0abacec1 | E80f7a03289d7 | E931a3bf23d5a
E8ccb0abacec1 | Eb8e2c4cdd76e | Eab6b2da1f0d0
E8ccb0abacec1 | E46f7653a9aeb | E1c5f2db0f91e
E3cf32118d63d | E11cb11528777 | Edb8c19077820
E3cf32118d63d | Ec09726f6dab2 | E34d5444a0070
E3cf32118d63d | E00c007fedf2c | Ee1f87e178845
E3cf32118d63d | Efbdc20192853 | E62a0632d63d9
E3cf32118d63d | E80f7a03289d7 | Eb6550de4ab10
E3cf32118d63d | Eb8e2c4cdd76e | Eed985e41bc3b
E3cf32118d63d | E46f7653a9aeb | Ebf2dcdb93316

### TABLE Eb9ce92087467 ###
E770c51a55200 | Eaa446e4d6006 | E079b5fb56b0a
E770c51a55200 | Ea77014fbbdad | Ea156c21ed054
E770c51a55200 | E7eb3f56226bd | Ec9070f02caca
Ed858e77f0160 | Eaa446e4d6006 | E9429230cd4eb
Ed858e77f0160 | Ea77014fbbdad | 71116
Ed858e77f0160 | E7eb3f56226bd | 57314
E1cfe1a635476 | Eaa446e4d6006 | E64b9c3ef93ee
E1cfe1a635476 | Ea77014fbbdad | E6a3564d00d44
E1cfe1a635476 | E7eb3f56226bd | E698d7b683f35
E2dd53bdd9272 | Eaa446e4d6006 | Ed7d7add3ac9e
E2dd53bdd9272 | Ea77014fbbdad | Ef491381ff745
E2dd53bdd9272 | E7eb3f56226bd | E85d25a02bef3
E25273030bc8b | Eaa446e4d6006 | E4c840cedeed3
E25273030bc8b | Ea77014fbbdad | 53772
E25273030bc8b | E7eb3f56226bd | 48808
E7d35c18686c0 | Eaa446e4d6006 | E5eca33fc70fc
E7d35c18686c0 | Ea77014fbbdad | 1152
E7d35c18686c0 | E7eb3f56226bd | 952

### TABLE E0116ae518bab ###
E82a9c04c4cbc | Eaa446e4d6006 | E19dca9ac2d5b
E82a9c04c4cbc | E3d7e09bdbb57 | E6d9b36730aaf
E82a9c04c4cbc | E1da84b778cb6 | Ea252107aa765
E72f4b41e8929 | Eaa446e4d6006 | E479094bbf39f
E72f4b41e8929 | E3d7e09bdbb57 | Ecb035bba41fc
E72f4b41e8929 | E1da84b778cb6 | E34bd9e2b724c
Ec0a70657d3ea | Eaa446e4d6006 | E525d67b019a6
Ec0a70657d3ea | E3d7e09bdbb57 | Ee92d4e5b704f
Ec0a70657d3ea | E1da84b778cb6 | Ea238d4063175

### TABLE E20189ae9a52d ###
E032224b7f236 | E11cb11528777 | Eda3fe014250b
E032224b7f236 | E139a4f2c802a | Eaffdb94c57f3
E032224b7f236 | Ee38787f339a5 | E8d715590b527
E032224b7f236 | E09ee28c83c49 | Ea086c0687501
E491fc1357c6d | E11cb11528777 | E38b78a1cd9a0
E491fc1357c6d | E139a4f2c802a | 7104
E491fc1357c6d | Ee38787f339a5 | 2297
E491fc1357c6d | E09ee28c83c49 | 2077
E44458ec181be | E11cb11528777 | Ea8b40339a9e9
E44458ec181be | E139a4f2c802a | Ed0cbd4b9f4a4
E44458ec181be | Ee38787f339a5 | Eace412f89774
E44458ec181be | E09ee28c83c49 | E11dd2d27f452
E2f27365dfdc8 | E11cb11528777 | E5c5df138e1ee
E2f27365dfdc8 | E139a4f2c802a | Eefbb9167a7ea
E2f27365dfdc8 | Ee38787f339a5 | E3180c0324eeb
E2f27365dfdc8 | E09ee28c83c49 | Ec46af57877d3
E9b6d1062d375 | E11cb11528777 | Ee99627e0d176
E9b6d1062d375 | E139a4f2c802a | E8a808f63980b
E9b6d1062d375 | Ee38787f339a5 | Ed71ba9cd88bb
E9b6d1062d375 | E09ee28c83c49 | E6f736c6d8d89
Ea6deee9f5223 | E11cb11528777 | E50ef888e80af
Ea6deee9f5223 | E139a4f2c802a | Ef5933069cb39
Ea6deee9f5223 | Ee38787f339a5 | E63e5048494f6
Ea6deee9f5223 | E09ee28c83c49 | E080cdf63e90d

### TABLE E221dad9cce33 ###
Ebb379e04a4ca | E4691447bd8a3 | E464721676591
Ebb379e04a4ca | E14fa1775bc31 | 351
E6aebf41d1894 | E4691447bd8a3 | E25533e8d8880
E6aebf41d1894 | E14fa1775bc31 | 813
Ed30ebce8ac7c | E4691447bd8a3 | Efe50372137f0
Ed30ebce8ac7c | E14fa1775bc31 | E22d392af1047
E53a62e8cd566 | E4691447bd8a3 | E9ecc604c4f0f
E53a62e8cd566 | E14fa1775bc31 | E0d6fda06e078

### TABLE E69f96569183a ###
E69bd8de57539 | Eaa446e4d6006 | E7c1d60cde7d7
E69bd8de57539 | Ed448e36fb5b5 | E1db882b6f0f0
E69bd8de57539 | E2aa45b1f04e2 | E65eab5d089bb
E1d690ccc444b | Eaa446e4d6006 | Ef29ab3a43f81
E1d690ccc444b | Ed448e36fb5b5 | 79664
E1d690ccc444b | E2aa45b1f04e2 | 88813

### TABLE Eb011eb84407e ###
Eaaf5834f669e | Ef09e6d613f9c | E4fa3f1090b29
Eaaf5834f669e | E92c7dca7da88 | 55688
E70acc480124a | Ef09e6d613f9c | Ef2bb65774bf1
E70acc480124a | E92c7dca7da88 | Efe91cd5eb3aa

### TABLE Ebb0a6b6afa1e ###
E12a781688c50 | E11cb11528777 | E561ce5d5f282
E12a781688c50 | E46f7653a9aeb | Eea4b0b161901
E12a781688c50 | Ebb249e3fe3cd | E54492d63a52e
Ea4dcc7676da6 | E11cb11528777 | E75215a8ebd13
Ea4dcc7676da6 | E46f7653a9aeb | 205838
Ea4dcc7676da6 | Ebb249e3fe3cd | 165127
E5f6dbf0bba49 | E11cb11528777 | Ebf35a7148814
E5f6dbf0bba49 | E46f7653a9aeb | E0b9260fd2281
E5f6dbf0bba49 | Ebb249e3fe3cd | Ed750d8f75397

### TABLE Eb0846a09e3e8 ###
E593e5e57a261 | Ed93d76fab2e2 | Ec1b13545da46
E593e5e57a261 | Eb850fa2d79ff | 55228
E548196a8e151 | Ed93d76fab2e2 | Eb9818b13bbe1
E548196a8e151 | Eb850fa2d79ff | Ebe7a0f5f25fd
Ef46588f1d942 | Ed93d76fab2e2 | E3f1c0f2146dd
Ef46588f1d942 | Eb850fa2d79ff | E9f1564cb372a
Eba250848a897 | Ed93d76fab2e2 | E6561485edc0f
Eba250848a897 | Eb850fa2d79ff | 191826
Ef6c546b7f2bb | Ed93d76fab2e2 | Ef4250b14f02d
Ef6c546b7f2bb | Eb850fa2d79ff | E33b1c7dfb017
Ee5c0683e37aa | Ed93d76fab2e2 | Efbfe9ab0de5f
Ee5c0683e37aa | Eb850fa2d79ff | 22571
Ee7af60d4591d | Ed93d76fab2e2 | E4a06156583c8
Ee7af60d4591d | Eb850fa2d79ff | 1327974
E29a27542fdc7 | Ed93d76fab2e2 | Ec1b13545da46
E29a27542fdc7 | Eb850fa2d79ff | 55912
Ea703e8aaafc2 | Ed93d76fab2e2 | Eb9818b13bbe1
Ea703e8aaafc2 | Eb850fa2d79ff | E550ce52c7a65
Ea00bfd927bcd | Ed93d76fab2e2 | E3f1c0f2146dd
Ea00bfd927bcd | Eb850fa2d79ff | Ee7f595ebda15
Ec8661ba92ad4 | Ed93d76fab2e2 | E6561485edc0f
Ec8661ba92ad4 | Eb850fa2d79ff | E4e31063f9ac6
Eba9e25b612d7 | Ed93d76fab2e2 | E2960dbfee6c0
Eba9e25b612d7 | Eb850fa2d79ff | Ef62f84426977
E0cbe468c43fc | Ed93d76fab2e2 | Efbfe9ab0de5f
E0cbe468c43fc | Eb850fa2d79ff | 18578
Ea8eec9b4b069 | Ed93d76fab2e2 | E5479c81dd447
Ea8eec9b4b069 | Eb850fa2d79ff | E23f34451f354

### TABLE Ec172bc9ef85d ###
Eb9853d77d7fa | E11cb11528777 | Ec99ddd1b5fa5
Eb9853d77d7fa | E2aa45b1f04e2 | Ec83aca5867e7
Eb9853d77d7fa | E58d8bad0c4b2 | Ea1f10aa9b98b
E30c6198d7bfe | E11cb11528777 | E1d3128f418e5
E30c6198d7bfe | E2aa45b1f04e2 | 1238
E30c6198d7bfe | E58d8bad0c4b2 | 1636
Ea4cf829de624 | E11cb11528777 | Ecd8c9180a680
Ea4cf829de624 | E2aa45b1f04e2 | Eeab8c2e7d74b
Ea4cf829de624 | E58d8bad0c4b2 | E9a93588e0e56

### TABLE E93f96117db79 ###
E9f2469c19e39 | E11cb11528777 | 2006
E9f2469c19e39 | E4348084b70f0 | 155
Ec2eb7f78859b | E11cb11528777 | 2007
Ec2eb7f78859b | E4348084b70f0 | 29
E2e28a301508f | E11cb11528777 | 2008
E2e28a301508f | E4348084b70f0 | 22
Eb7f91cb881ce | E11cb11528777 | 2009
Eb7f91cb881ce | E4348084b70f0 | 40
E1895763bf22f | E11cb11528777 | 2010
E1895763bf22f | E4348084b70f0 | 28
Ec476236432b4 | E11cb11528777 | Ea9bd64c8c812
Ec476236432b4 | E4348084b70f0 | 3163
E7a7679608654 | E11cb11528777 | Ef2bb65774bf1
E7a7679608654 | E4348084b70f0 | 3437

### TABLE E254da724b8e2 ###
